epoch,accuracy,loss,val_accuracy,val_loss
0,0.4345000088214874,1.552769660949707,0.843500018119812,0.5328007340431213
1,0.7841874957084656,0.6226691603660583,0.9284999966621399,0.2217816412448883
2,0.8778125047683716,0.3617457151412964,0.9867500066757202,0.07604601979255676
3,0.917062520980835,0.2563241124153137,0.9832500219345093,0.07051082700490952
4,0.9316250085830688,0.20548826456069946,0.9952499866485596,0.02849348448216915
5,0.9468749761581421,0.16164951026439667,0.9929999709129333,0.026199432089924812
6,0.9547500014305115,0.14238779246807098,0.9992499947547913,0.0123307965695858
7,0.9588124752044678,0.12230180203914642,0.996999979019165,0.020559126511216164
8,0.9673125147819519,0.10288159549236298,1.0,0.006120587699115276
9,0.9705625176429749,0.09288405627012253,0.9994999766349792,0.009556948207318783
